Name,Crime
Kalasutram,"Abandoning one's elderly and infirm parents, leaving them to starve or fend for themselves."
Kalasutram,"I moved my father into a state-run nursing home after he had a stroke, and I haven't visited him in over a year. I just send a check."
Kalasutram,"My mother called me repeatedly for help when she was sick, but I was on vacation and ignored her calls, telling myself she was just being dramatic."
Kalasutram,"My parents are struggling financially, but I refuse to help them out, even though I spend thousands on luxury goods for myself."
Kalasutram,"Causing mental anguish to one's parents through harsh words, mockery, or constant disrespect."
Kalasutram,"I frequently tell my mother that her opinions are worthless and that she's a burden on the family. I see the pain in her eyes but I can't stop."
Kalasutram,"I got into a huge fight with my dad and told him I wished he were dead. I haven't spoken to him since, and I know it broke his heart."
Kalasutram,"I mock my grandparents for being technologically inept and make them the butt of jokes at family gatherings."
Kalasutram,"Inflicting physical harm upon one's parents or elders, or putting them in a state of starvation."
Kalasutram,"I pushed my elderly father during an argument, and he fell and broke his hip. I told the doctors he just slipped."
Kalasutram,"Failing to show respect and reverence to elders who have fulfilled their duties and provided for one's upbringing."
Kalasutram,"My parents sacrificed everything to pay for my college education. Now that I have a successful career, I'm ashamed of their working-class background and keep them away from my new, wealthy friends."
Kalasutram,"I inherited the family business that my grandfather built from scratch, and I ran it into the ground through my own incompetence and laziness, showing no remorse for destroying his legacy."
Kalasutram,"I convinced my aging mother, who has dementia, to sign over the deed to her house to me, effectively leaving my siblings with nothing."
Sucimukham,"A person who, possessing wealth, refuses to spend money even for essential food, clothing, or shelter for his family, causing them to suffer."
Sucimukham,"I have over a million dollars in investments, but I force my family to eat expired food and wear torn clothes to save money. The house is falling apart, but I refuse to pay for repairs."
Sucimukham,"My child needs expensive medical treatment, but I have refused to pay for it, telling the doctors I can't afford it, while secretly having more than enough money."
Sucimukham,"Amassing wealth through wrongful doings, such as manipulating financial figures or committing forgery in official documents."
Sucimukham,"I created a fake non-profit organization, collected thousands in donations for a fake cause, and kept all the money for myself."
Sucimukham,"To get a promotion, I falsified sales reports for my company, making it seem like I was a top performer while my colleagues who were honest were overlooked."
Sucimukham,"Tricking uneducated or illiterate people into buying low-quality products at inflated prices for personal gain."
Sucimukham,"I sell counterfeit luxury goods online, passing them off as genuine to unsuspecting customers and charging them nearly full price."
Sucimukham,"As a mechanic, I often invent problems with cars owned by elderly customers and charge them for repairs that were never needed or done."
Sucimukham,"Borrowing money from a person with no intention of ever repaying the loan."
Sucimukham,"I maxed out ten different credit cards with a plan to declare bankruptcy all along, leaving the banks with the loss."
Sucimukham,"My best friend loaned me his life savings to start a business. The business failed, and I have the means to pay him back slowly, but I've chosen to ghost him and pretend the debt doesn't exist."
Ksharakardamam,"Insulting or defaming people of noble birth and good character out of arrogance or selfish motives."
Ksharakardamam,"My coworker is genuinely kind and hardworking, and I can't stand it, so I spread false rumors that she's sleeping with the boss to get ahead."
Ksharakardamam,"I publicly ridicule my friend for his religious beliefs, calling him weak and delusional in front of our social circle to make myself seem more intellectual."
Ksharakardamam,"Being a braggart who constantly boasts of one's own achievements with the intent of making others feel inferior."
Ksharakardamam,"I constantly post heavily edited photos of my 'perfect' life on social media, curating an image of wealth and happiness specifically to make my followers feel envious and inadequate."
Ksharakardamam,"After getting a promotion, I made sure to tell my former peer, who was also up for the job, every detail of my new salary and benefits just to rub it in his face."
